Name of Institution,Street Address,City,ZIP Code,County,Location 1
Advantage Federal C.U.,1975 Buffalo Road,Rochester,14624,Monroe,"1975 Buffalo Road
Rochester, NY 14624
(43.147967, -77.707937)"
Advantage Federal C.U.,1425 Portland Avenue,Rochester,14621,Monroe,"1425 Portland Avenue
Rochester, NY 14621
(43.192542, -77.584424)"
Advantage Federal C.U.,225 West Broad Street,Rochester,14614,Monroe,"225 West Broad Street
Rochester, NY 14614
(43.153926, -77.617766)"
Advantage Federal C.U.,2515 Browncroft Boulevard,Rochester,14626,Monroe,"2515 Browncroft Boulevard
Rochester, NY 14626
(43.153669, -77.504604)"
Advantage Federal C.U.,701 Library Road,Rochester,14611,Monroe,"701 Library Road
Rochester, NY 14611
(43.128941, -77.628031)"
Advantage Federal C.U.,601 Elmwood Avenue,Rochester,14642,Monroe,"601 Elmwood Avenue
Rochester, NY 14642
(43.124394, -77.623692)"
Advantage Federal C.U.,1625 Mount Hope Avenue,Rochester,14620,Monroe,"1625 Mount Hope Avenue
Rochester, NY 14620
(43.118014, -77.62076)"
Advantage Federal C.U.,6000 Reynolds Drive,Rochester,14623,Monroe,"6000 Reynolds Drive
Rochester, NY 14623"
Advantage Federal C.U.,100 Kings Highway South,Rochester,14617,Monroe,"100 Kings Highway South
Rochester, NY 14617
(43.201783, -77.577179)"
Advantage Federal C.U.,200 Lomb Memorial Center,Rochester,14623,Monroe,"200 Lomb Memorial Center
Rochester, NY 14623
(43.085852, -77.674571)"
Advantage Federal C.U.,38 Lomb Memorial Drive,Rochester,14623,Monroe,"38 Lomb Memorial Drive
Rochester, NY 14623
(43.091103, -77.674602)"
Advantage Federal C.U., 70 Metro Park,Rochester,14623,Monroe,"70 Metro Park
Rochester, NY 14623
(43.0976, -77.615778)"
Advantage Federal C.U.,1000 South Avenue,Rochester,14620,Monroe,"1000 South Avenue
Rochester, NY 14620
(43.135955, -77.607556)"
Advantage Federal C.U.,52 Lomb Memorial Drive,Rochester,14623,Monroe,"52 Lomb Memorial Drive
Rochester, NY 14623
(43.091199, -77.674612)"
Advantage Federal C.U.,3111 South Winton Road,Rochester,14623,Monroe,"3111 South Winton Road
Rochester, NY 14623
(43.092179, -77.581983)"
Advantage Federal C.U.,701 LIBRARY ROAD,ROCHESTER,14627,Monroe,"701 LIBRARY ROAD
ROCHESTER, NY 14627
(43.128941, -77.628031)"
Alco Federal Credit Union,32 Greenwich Street,Belmont,14813,Allegany,"32 Greenwich Street
Belmont, NY 14813
(42.225026, -78.028496)"
Alco Federal Credit Union,9 West Main Street,Cuba,14727,Allegany,"9 West Main Street
Cuba, NY 14727
(42.217156, -78.275963)"
Alco Federal Credit Union,25 West Main Street,Friendship,14739,Allegany,"25 West Main Street
Friendship, NY 14739
(42.207483, -78.13484)"
Alco Federal Credit Union,2859 Lindy Lane,Wellsville,14895,Allegany,"2859 Lindy Lane
Wellsville, NY 14895
(42.123472, -77.978877)"
Alden State Bank,13216 Broadway,Alden,14004,Erie,"13216 Broadway
Alden, NY 14004
(42.900207, -78.495461)"
Alden State Bank,5802 Broadway,Lancaster,14086,Erie,"5802 Broadway
Lancaster, NY 14086
(42.894862, -78.644966)"
Alma Bank,28-20 Ditmars Boulevard,Astoria,11105,Queens,"28 20 Ditmars Boulevard
Astoria, NY 11105"
Alma Bank,41-02 Broadway,Astoria,11103,Queens,"41 02
Astoria, NY 11103"
Alma Bank,2831 31st Street,Astoria,11102,Queens,"2831 31st Street
Astoria, NY 11102
(40.767229, -73.921115)"
Alma Bank,21311 Northern Boulevard,Bayside,11361,Queens,"21311 Northern Boulevard
Bayside, NY 11361
(40.760237, -73.769888)"
Alma Bank,1705 Crosby Avenue,Bronx,10461,Bronx,"1705 Crosby Avenue
Bronx, NY 10461
(40.845567, -73.831296)"
Alma Bank,8424 5th Avenue,Brooklyn,11209,Kings,"8424 5th Avenue
Brooklyn, NY 11209
(40.622291, -74.025571)"
Alma Bank,140 58th Street,Brooklyn,11220,Kings,"140 58th Street
Brooklyn, NY 11220
(40.645819, -74.023681)"
Alma Bank,4401 13th Avenue,Brooklyn,11219,Kings,"4401 13th Avenue
Brooklyn, NY 11219
(40.637733, -73.98929)"
Alma Bank,1218 Kings Highway,Brooklyn,11237,Kings,"1218 Kings Highway
Brooklyn, NY 11237
(40.607862, -73.960463)"
Alma Bank,1023 Avenue of the Americas,New York,10018,New York,"1023 Avenue
New York, NY 10018"
Alternatives Federal Credit Union,125 North Fulton Street,Ithaca,14850,Tompkins,"125 North Fulton Street
Ithaca, NY 14850
(42.439626, -76.51054)"
Amalgamated Bank,3770 East Tremont Avenue,Bronx,10465,Bronx,"3770 East Tremont Avenue
Bronx, NY 10465
(40.825845, -73.821268)"
Amalgamated Bank,2067 Bartow Avenue,Bronx,10475,Bronx,"2067 Bartow Avenue
Bronx, NY 10475
(40.869526, -73.828754)"
Amalgamated Bank,94 East Burnside Avenue,Bronx,10453,Bronx,"94 East Burnside Avenue
Bronx, NY 10453
(40.853252, -73.905866)"
Amalgamated Bank,4502 5th Avenue,Brooklyn,11220,Kings,"4502 5th Avenue
Brooklyn, NY 11220
(40.647803, -74.007501)"
Amalgamated Bank,1212 Fulton Street,Brooklyn,11216,Kings,"1212 Fulton Street
Brooklyn, NY 11216
(40.680524, -73.952039)"
Amalgamated Bank,70-23 Parsons Boulevard,Flushing,11365,Queens,"70 23 Parsons Boulevard
Flushing, NY 11365
(40.793796, -73.82552)"
Amalgamated Bank,36-18 21st Street,Long Island City,11106,Queens,"36 18 21st Street
Long Island City, NY 11106"
Amalgamated Bank,275 Seventh Avenue,New York,10001,New York,"275 Seventh Avenue
New York, NY 10001
(40.745644, -73.994496)"
Amalgamated Bank,10 East 14th Street,New York,10003,New York,"10 East 14th Street
New York, NY 10003
(40.735726, -73.992967)"
Amalgamated Bank,52 Broadway,New York,10004,New York,"52 Broadway
New York, NY 10004
(40.706646, -74.012608)"
Amalgamated Bank,301 Third Avenue,New York,10010,New York,"301 Third Avenue
New York, NY 10010
(40.73902, -73.982994)"
Amalgamated Bank,619 Main Street,Roosevelt Island,10044,New York,"619 Main Street
Roosevelt Island, NY 10044
(40.763232, -73.948741)"
Amerasia Bank,86-26 Broadway,Elmhurst,11373,Queens,"86 26
Elmhurst, NY 11373"
Amerasia Bank,41-06 Main Street,Flushing,11355,Queens,"41 06 Main Street
Flushing, NY 11355"
American Broadcast Employees Federal Credit Union,30 West 66th Street,New York,10023,New York,"30 West 66th Street
New York, NY 10023
(40.772654, -73.979277)"
American Broadcast Employees Federal Credit Union,77 West 66th Street,New York,10023,New York,"77 West 66th Street
New York, NY 10023
(40.773259, -73.980728)"
AmeriCU Credit Union,295 Grant Avenue,Auburn,13021,Cayuga,"295 Grant Avenue
Auburn, NY 13021
(42.95408, -76.544516)"
AmeriCU Credit Union,5212 West Genesee Street,Camillus,13031,Onondaga,"5212 West Genesee Street
Camillus, NY 13031
(43.041315, -76.267724)"
AmeriCU Credit Union, 82 Albany Street,Cazenovia,13035,Madison,"82 Albany Street
Cazenovia, NY 13035
(42.929876, -75.852768)"
AmeriCU Credit Union,6414 State Route 31,Cicero,13039,Onondaga,"6414 State Route
Cicero, NY 13039"
AmeriCU Credit Union, 5798 NY  31,Cicero,13039,Onondaga,"5798 NY
Cicero, NY 13039"
AmeriCU Credit Union, 3944 NY Rt 281,Cortland,13045,Cortland,"3944 NY
Cortland, NY 13045"
AmeriCU Credit Union,5439 North Burdick Street,Fayetteville,13066,Onondaga,"5439 North Burdick Street
Fayetteville, NY 13066
(43.039084, -76.017435)"
AmeriCU Credit Union,Building P10750,Ft. Drum,13603,Jefferson,"P10750 Ft
Drum, NY 13603"
AmeriCU Credit Union,326 East State Street,Herkimer,13350,Herkimer,"326 East State Street
Herkimer, NY 13350
(43.027526, -74.980639)"
AmeriCU Credit Union,8007 Oswego Road,Liverpool,13090,Onondaga,"8007 Oswego Road
Liverpool, NY 13090
(43.158522, -76.228823)"
AmeriCU Credit Union,7394 Utica Boulevard,Lowville,13367,Lewis,"7394 Utica Boulevard
Lowville, NY 13367
(43.778028, -75.484052)"
AmeriCU Credit Union,280 Genesee Street,Oneida,13421,Madison,"280 Genesee Street
Oneida, NY 13421
(43.078582, -75.651668)"
AmeriCU Credit Union, 412 Geness Street,Oneida,13421,Oneida,"412 Geness Street
Oneida, NY 13421
(43.077923, -75.663532)"
AmeriCU Credit Union,1916 Black River Boulevard,Rome,13440,Oneida,"1916 Black River Boulevard
Rome, NY 13440
(43.23662, -75.436138)"
AmeriCU Credit Union,231 Hill Road,Rome,13440,Oneida,"231 Hill Road
Rome, NY 13440
(43.221065, -75.418974)"
AmeriCU Credit Union,590 Bridge Street ,Syracuse,13209,Onondaga,"590 Bridge Street
Syracuse, NY 13209
(43.072813, -76.213005)"
AmeriCU Credit Union, 4585 W. Seneca Tpke,Syracuse,13215,Onondaga,"4585 W Seneca Tpke
Syracuse, NY 13215
(43.001952, -76.194128)"
AmeriCU Credit Union,200 Walton Street,Syracuse,13202,Onondaga,"200 Walton Street
Syracuse, NY 13202
(43.047972, -76.155861)"
AmeriCU Credit Union,6303 Thompson Road,Syracuse,13206,Onondaga,"6303 Thompson Road
Syracuse, NY 13206
(43.076084, -76.089107)"
AmeriCU Credit Union,224 North Genesee Street,Utica,13502,Oneida,"224 North Genesee Street
Utica, NY 13502
(43.112785, -75.215082)"
AmeriCU Credit Union,20991 NYS Route 3,Watertown,13601,Jefferson,"20991 NYS Route
Watertown, NY 13601"
AmeriCU Credit Union,4957 Commercial Drive,Yorkville,13495,Oneida,"4957 Commercial Drive
Yorkville, NY 13495
(43.103129, -75.298521)"
Apple Bank For Savings,3986 Hempstead Turnpike,Bethpage,11714,Nassau,"3986 Hempstead Turnpike
Bethpage, NY 11714
(40.725264, -73.489406)"
Apple Bank For Savings,101 East 170th Street,Bronx,10452,Bronx,"101 East 170th Street
Bronx, NY 10452
(40.839474, -73.915701)"
Apple Bank For Savings,370 East 149th Street,Bronx,10455,Bronx,"370 East 149th Street
Bronx, NY 10455
(40.816272, -73.918695)"
Apple Bank For Savings,44 East 161st Street,Bronx,10451,Bronx,"44 East 161st Street
Bronx, NY 10451
(40.827736, -73.926257)"
Apple Bank For Savings,120 East Fordham Road,Bronx,10458,Bronx,"120 East Fordham Road
Bronx, NY 10458
(40.862321, -73.898368)"
Apple Bank For Savings,626 Pelham Parkway South,Bronx,10462,Bronx,"626 Pelham Parkway South
Bronx, NY 10462
(40.856628, -73.868379)"
Apple Bank For Savings,3552-B Johnson Avenue,Bronx,10463,Bronx,"3552-B Johnson Avenue
Bronx, NY 10463
(40.886512, -73.90971)"
Apple Bank For Savings,74 Hugh J Grant Circle,Bronx,10472,Bronx,"74 Hugh J Grant Circle
Bronx, NY 10472
(40.832817, -73.860483)"
Apple Bank For Savings,12 Westchester Square,Bronx,10461,Bronx,"12 Westchester Square
Bronx, NY 10461
(40.840136, -73.843335)"
Apple Bank For Savings,2021 Bartow Avenue,Bronx,10475,Bronx,"2021 Bartow Avenue
Bronx, NY 10475
(40.869085, -73.830956)"
Apple Bank For Savings,85 Pondfield Road,Bronxville,10708,Westchester,"85 Pondfield Road
Bronxville, NY 10708
(40.940029, -73.833184)"
Apple Bank For Savings,6701 18th Avenue,Brooklyn,11204,Kings,"6701 18th Avenue
Brooklyn, NY 11204
(40.617835, -73.991491)"
Apple Bank For Savings,418 Myrtle Avenue,Brooklyn,11205,Kings,"418 Myrtle Avenue
Brooklyn, NY 11205
(40.693112, -73.969026)"
Apple Bank For Savings,486 Neptune Avenue,Brooklyn,11224,Kings,"486 Neptune Avenue
Brooklyn, NY 11224
(40.579826, -73.973024)"
Apple Bank For Savings,414 Flushing Avenue,Brooklyn,11205,Kings,"414 Flushing Avenue
Brooklyn, NY 11205
(40.698744, -73.958373)"
Apple Bank For Savings,426 86th Street,Brooklyn,11209,Kings,"426 86th Street
Brooklyn, NY 11209
(40.622351, -74.027632)"
Apple Bank For Savings,7415 Fifth Avenue,Brooklyn,11209,Kings,"7415 Fifth Avenue
Brooklyn, NY 11209
(40.629841, -74.022488)"
Apple Bank For Savings,1973 86th Street,Brooklyn,11214,Kings,"1973 86th Street
Brooklyn, NY 11214
(40.604886, -73.998717)"
Apple Bank For Savings,1617 Avenue M,Brooklyn,11230,Kings,"1617 Avenue
Brooklyn, NY 11230
(40.618175, -73.958492)"
Apple Bank For Savings,1321 Kings Highway,Brooklyn,11229,Kings,"1321 Kings Highway
Brooklyn, NY 11229
(40.608298, -73.959365)"
Apple Bank For Savings,4519 13th Avenue,Brooklyn,11219,Kings,"4519 13th Avenue
Brooklyn, NY 11219
(40.637154, -73.989886)"
Apple Bank For Savings,1954 Flatbush Avenue,Brooklyn,11234,Kings,"1954 Flatbush Avenue
Brooklyn, NY 11234
(40.622153, -73.936377)"
Apple Bank For Savings,318 Albany Avenue,Brooklyn,11213,Kings,"318 Albany Avenue
Brooklyn, NY 11213
(40.668791, -73.939469)"
Apple Bank For Savings,326 Court Street,Brooklyn,11231,Kings,"326 Court Street
Brooklyn, NY 11231
(40.682956, -73.99561)"
Apple Bank For Savings,44 Lee Avenue,Brooklyn,11211,Kings,"44 Lee Avenue
Brooklyn, NY 11211
(40.706274, -73.960564)"
Apple Bank For Savings,405 Brighton Beach Avenue,Brooklyn,11235,Kings,"405 Brighton Beach Avenue
Brooklyn, NY 11235
(40.577268, -73.963079)"
Apple Bank For Savings,776 Manhattan Avenue,Brooklyn,11222,Kings,"776 Manhattan Avenue
Brooklyn, NY 11222
(40.727283, -73.95279)"
Apple Bank For Savings,1575 50th Street,Brooklyn,11219,Kings,"1575 50th Street
Brooklyn, NY 11219
(40.630649, -73.986388)"
Apple Bank For Savings,1401 Avenue J,Brooklyn,11230,Kings,"1401 Avenue
Brooklyn, NY 11230
(40.62747, -73.96258)"
Apple Bank For Savings,115 Cedarhurst Avenue,Cedarhurst,11516,Nassau,"115 Cedarhurst Avenue
Cedarhurst, NY 11516
(40.622238, -73.724049)"
Apple Bank For Savings,41 Commack Road,Commack,11725,Suffolk,"41 Commack Road
Commack, NY 11725
(40.841871, -73.293186)"
Apple Bank For Savings,50 Montauk Highway,East Hampton,11937,Suffolk,"50 Montauk Highway
East Hampton, NY 11937
(40.954411, -72.208294)"
Apple Bank For Savings,10 Route 25A,East Setauket,11733,Suffolk,"10 Route
East Setauket, NY 11733"
Apple Bank For Savings,91-31 Queens Boulevard,Elmhurst,11373,Queens,"91 31 Queens Boulevard
Elmhurst, NY 11373"
Apple Bank For Savings,1693 Hempstead Turnpike,Elmont,11003,Nassau,"1693 Hempstead Turnpike
Elmont, NY 11003
(40.707432, -73.703623)"
Apple Bank For Savings,43-73 Kissena Boulevard,Flushing,11355,Queens,"43 73 Kissena Boulevard
Flushing, NY 11355"
Apple Bank For Savings,102-35 Queens Boulevard,Forest Hills,11375,Queens,"102 35 Queens Boulevard
Forest Hills, NY 11375"
Apple Bank For Savings,775 Pulaski Road,Greenlawn,11740,Suffolk,"775 Pulaski Road
Greenlawn, NY 11740
(40.868887, -73.348008)"
Apple Bank For Savings,"167 Walt Whitman Road, Route 110",Huntington Station,11746,Suffolk,"167 Walt Whitman Road
Huntington Station, NY 11746
(40.8238, -73.412561)"
Apple Bank For Savings,78-01 37th Avenue,Jackson Heights,11372,Queens,"78 01 37th Avenue
Jackson Heights, NY 11372"
Apple Bank For Savings,168-42 Hillside Avenue,Jamaica,11432,Queens,"168 42 Hillside Avenue
Jamaica, NY 11432"
Apple Bank For Savings,116-12 Queens Boulevard,Kew Gardens,11375,Queens,"116 12 Queens Boulevard
Kew Gardens, NY 11375"
Apple Bank For Savings,200 Birch Hill Road,Locust Valley ,11560,Nassau,"200 Birch Hill Road
Locust Valley, NY 11560
(40.879593, -73.596242)"
Apple Bank For Savings,280 East Park Avenue,Long Beach,11561,Nassau,"280 East Park Avenue
Long Beach, NY 11561
(40.588445, -73.655611)"
Apple Bank For Savings,1395 Northern Boulevard,Manhasset,11030,Nassau,"1395 Northern Boulevard
Manhasset, NY 11030
(40.793147, -73.695222)"
Apple Bank For Savings,943 Carmens Road,Massapequa,11758,Nassau,"943 Carmens Road
Massapequa, NY 11758
(40.702213, -73.432942)"
Apple Bank For Savings,1753 East Main Street,Mohegan Lake,10547,Westchester,"1753 East Main Street
Mohegan Lake, NY 10547
(41.323211, -73.852927)"
Apple Bank For Savings, 79 Route 59,Monsey,10952,Rockland,"79 Route
Monsey, NY 10952"
Apple Bank For Savings,1320 Avenue of the Americas,New York,10019,New York,"1320 Avenue
New York, NY 10019"
Apple Bank For Savings,10 Downing Street,New York,10014,New York,"10 Downing Street
New York, NY 10014
(40.729662, -74.002596)"
Apple Bank For Savings,10 Hanover Square,New York,10005,New York,"10 Hanover Square
New York, NY 10005
(40.704325, -74.00921)"
Apple Bank For Savings,110 Church Street,New York,10007,New York,"110 Church Street
New York, NY 10007
(40.713441, -74.009123)"
Apple Bank For Savings,812-814 Lexington Avenue,New York,10022,New York,"812 814 Lexington Avenue
New York, NY 10022
(40.764407, -73.966584)"
Apple Bank For Savings,1170 Lexington Avenue,New York,10028,New York,"1170 Lexington Avenue
New York, NY 10028
(40.776136, -73.958022)"
Apple Bank For Savings,124 East 125th Street,New York,10035,New York,"124 East 125th Street
New York, NY 10035
(40.804543, -73.937799)"
Apple Bank For Savings,4950 Broadway,New York,10034,New York,"4950 Broadway
New York, NY 10034
(40.867891, -73.920605)"
Apple Bank For Savings,3815 Broadway,New York,10032,New York,"3815 Broadway
New York, NY 10032
(40.835214, -73.94419)"
Apple Bank For Savings,371 Seventh Avenue,New York,10012,New York,"371 Seventh Avenue
New York, NY 10012
(40.748908, -73.992149)"
Apple Bank For Savings,1555 First Avenue,New York,10028,New York,"1555 First Avenue
New York, NY 10028
(40.773769, -73.951638)"
Apple Bank For Savings,465 Grand Street,New York,10002,New York,"465 Grand Street
New York, NY 10002
(40.715032, -73.983791)"
Apple Bank For Savings,2100 Broadway,New York,10023,New York,"2100 Broadway
New York, NY 10023
(40.779836, -73.981517)"
Apple Bank For Savings,105 Second Avenue,New York,10003,New York,"105 Second Avenue
New York, NY 10003
(40.727575, -73.988399)"
Apple Bank For Savings,1168 First Avenue,New York,10021,New York,"1168 First Avenue
New York, NY 10021
(40.763164, -73.959383)"
Apple Bank For Savings,250 West 23rd Street,New York,10011,New York,"250 West 23rd Street
New York, NY 10011
(40.744913, -73.997577)"
Apple Bank For Savings,4 Irving Place,New York,10003,New York,"4 Irving Place
New York, NY 10003
(40.734227, -73.988599)"
Apple Bank For Savings,706 West 181st Street,New  York,10033,New York,"706 West 181st Street
New York, NY 10033
(40.850421, -73.936549)"
Apple Bank For Savings,122 EAST 42ND STREET,NEW YORK,10168,New York,"122 EAST 42ND STREET
NEW YORK, NY 10168
(40.75157, -73.976348)"
Apple Bank For Savings,151 East Sunrise Highway,North Lindenhurst,11757,Suffolk,"151 East Sunrise Highway
North Lindenhurst, NY 11757
(40.703697, -73.374629)"
Apple Bank For Savings,365 South Oyster Bay Road,Plainview,11803,Nassau,"365 South Oyster Bay Road
Plainview, NY 11803
(40.784962, -73.503226)"
Apple Bank For Savings,3075 Veterans Highway,Ronkonkoma,11779,Suffolk,"3075 Veterans Highway
Ronkonkoma, NY 11779
(40.788181, -73.137243)"
Apple Bank For Savings,138 Main Street,Sag Harbor,11963,Suffolk,"138 Main Street
Sag Harbor, NY 11963
(40.999438, -72.295585)"
Apple Bank For Savings,1075 Central Park Avenue,Scarsdale,10583,Westchester,"1075 Central Park Avenue
Scarsdale, NY 10583
(40.987715, -73.824332)"
Apple Bank For Savings,333 Glen Cove Avenue,Sea Cliff,11579,Nassau,"333 Glen Cove Avenue
Sea Cliff, NY 11579
(40.841696, -73.634969)"
Apple Bank For Savings,91 Route 111,Smithtown,11787,Suffolk,"91 Route
Smithtown, NY 11787"
Apple Bank For Savings,2655 Richmond Avenue,Staten Island,10314,Richmond,"2655 Richmond Avenue
Staten Island, NY 10314
(40.58222, -74.168968)"
Apple Bank For Savings,666 Columbus Ave (Rose Hill Shopping Center),Thornwood,10594,Westchester,"666 Columbus Ave (Rose Hill Shopping Center
Thornwood, NY 10594"
Apple Bank For Savings,1000 West Montauk Highway,West Babylon,11704,Suffolk,"1000 West Montauk Highway
West Babylon, NY 11704
(40.684794, -73.349872)"
Apple Bank For Savings,1000 Merchants Councourse,Westbury,11590,Nassau,"1000 Merchants
Westbury, NY 11590"
Apple Bank For Savings,33 Mamaroneck Avenue,White Plains,10601,Westchester,"33 Mamaroneck Avenue
White Plains, NY 10601
(41.031411, -73.766163)"
Atlas Bank,689 5th Avenue,Brooklyn,11215,Kings,"689 5th Avenue
Brooklyn, NY 11215
(40.661451, -73.993337)"
Ballston Spa National Bank, 1973 Western Ave, Albany,12203,Albany,"1973 Western Ave
Albany, NY 12203
(42.694625, -73.879521)"
Ballston Spa National Bank,344 Rowland Street,Ballston Spa,12020,Saratoga,"344 Rowland Street
Ballston Spa, NY 12020
(43.043714, -73.850286)"
Ballston Spa National Bank,124 Dunning Street,Ballston Spa,12020,Saratoga,"124 Dunning Street
Ballston Spa, NY 12020
(42.971309, -73.791309)"
Ballston Spa National Bank,87 Front Street,Ballston Spa,12020,Saratoga,"87 Front Street
Ballston Spa, NY 12020
(43.002391, -73.851777)"
Ballston Spa National Bank,990 Route 67,Ballston Spa,12020,Saratoga,"990 Route
Ballston Spa, NY 12020"
